ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13359774,JH141686,02/05/2024 12:55:00 AM,075XX S MORGAN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0612,006,17,71,08B,1170952,1854744,2024,02/13/2024 03:41:06 PM,41.756889607,-87.649056302,"(41.756889607, -87.649056302)"
13359500,JH140736,02/05/2024 01:00:00 AM,106XX S Longwood Dr,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,2212,022,19,72,11,1165114,1834048,2024,02/13/2024 03:41:06 PM,41.700222017,-87.671035204,"(41.700222017, -87.671035204)"
13358688,JH140497,02/05/2024 01:00:00 AM,029XX N SPRINGFIELD AVE,0810,THEFT,OVER $500,STREET,false,false,2523,025,31,21,06,1149882,1919204,2024,02/13/2024 03:41:06 PM,41.934210012,-87.724600523,"(41.934210012, -87.724600523)"
13359622,JH140352,02/05/2024 01:00:00 AM,001XX E 75TH ST,0820,THEFT,$500 AND UNDER,GAS STATION,false,false,0323,003,6,69,06,1178634,1855322,2024,02/13/2024 03:41:06 PM,41.758304581,-87.620885702,"(41.758304581, -87.620885702)"
13358599,JH140340,02/05/2024 01:00:00 AM,053XX S ARTESIAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0923,009,15,63,07,1160955,1868758,2024,02/13/2024 03:41:06 PM,41.795558344,-87.685306732,"(41.795558344, -87.685306732)"
13359363,JH141126,02/05/2024 01:00:00 AM,005XX S PULASKI RD,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,1132,011,24,26,02,1149812,1897228,2024,02/24/2024 03:40:43 PM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
13358540,JH140337,02/05/2024 01:05:00 AM,008XX S INDEPENDENCE BLVD,0560,ASSAULT,SIMPLE,STREET,false,false,1133,011,24,26,08A,1151229,1895983,2024,02/13/2024 03:41:06 PM,41.87046297,-87.720260149,"(41.87046297, -87.720260149)"
13360183,JH140405,02/05/2024 01:10:00 AM,059XX S MORGAN ST,1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE TO THE DELINQUENCY OF CHILD,STREET,false,true,0712,007,16,68,20,1170659,1865532,2024,02/13/2024 03:41:06 PM,41.786499587,-87.649815884,"(41.786499587, -87.649815884)"
13358552,JH140347,02/05/2024 01:12:00 AM,045XX W PARKER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2521,025,31,20,08B,1145637,1917860,2024,02/13/2024 03:41:06 PM,41.930603599,-87.740235151,"(41.930603599, -87.740235151)"
13358545,JH140343,02/05/2024 01:15:00 AM,028XX W JACKSON BLVD,0460,BATTERY,SIMPLE,STREET,false,false,1124,011,27,27,08B,1157560,1898567,2024,02/13/2024 03:41:06 PM,41.877427291,-87.696946533,"(41.877427291, -87.696946533)"
